"","Neighbourhood","Accommodates","Bathrooms","Bedrooms","Beds","Price","Square.Feet","Guests.Included","Extra.People","Review.Scores.Rating","Latitude","Longitude"
"3680","La Latina",6,1,3,5,80,NA,1,0,80,40.4070717656915,-3.70886007880984
"3681","La Latina",2,1,1,1,65,NA,1,0,93,40.4076857016383,-3.70528537606839
"3682","Embajadores",2,1,1,1,55,NA,1,0,90,40.4104593110366,-3.70082899599193
"3683","Embajadores",3,1,1,2,60,0,1,0,NA,40.4093536709577,-3.69421109069028
"3684","La Latina",4,1,1,2,90,NA,2,15,100,40.412588190432,-3.70857440506312
"3685","Palacio",4,3,3,4,129,NA,1,0,95,40.4214407799568,-3.71318887992251
"3686","Palacio",6,2,2,4,156,NA,2,18,96,40.4135764360755,-3.71156415040784
"3687","La Latina",4,1,3,3,78,NA,1,0,80,40.413032104347,-3.71293421964013
"3688","Palacio",5,1,2,2,70,NA,2,15,96,40.417855994811,-3.70978387614464
"3689","Palacio",8,2,3,4,98,NA,5,0,NA,40.4152662927727,-3.71186511149567
"3690","Palacio",4,1,1,1,90,NA,2,0,90,40.4197434393637,-3.71216052728489
"3691","La Latina",4,1,1,2,60,NA,2,15,97,40.4126333256173,-3.70942153912822
"3692","La Latina",2,1,2,1,70,NA,1,0,96,40.4086000506282,-3.71216261949251
"3693","La Latina",4,1,1,1,60,NA,1,0,78,40.4099459836554,-3.71270019557412
"3694","Palacio",2,1,1,1,48,NA,1,0,89,40.4190488395139,-3.7087771128795
"3695","Palacio",4,1,2,2,58,NA,3,0,92,40.4153323963054,-3.71041193393152
"3696","Palacio",6,1,2,3,125,NA,4,0,96,40.4169772594294,-3.70994730000201
"3697","Centro",4,1,1,2,40,NA,2,5,91,40.4076526165227,-3.71117348051248
"3698","La Latina",10,2,2,9,98,NA,1,24,98,40.4127771427216,-3.71100230505653
"3699","Palacio",5,1,2,3,60,NA,2,15,80,40.4224253187273,-3.71026189313578
"3700","Palacio",2,1,1,1,42,NA,1,0,83,40.4167915723785,-3.71106478121042
"3701","Palacio",8,2,3,5,100,NA,4,40,89,40.4187212880919,-3.70998819404979
"3702","La Latina",2,1,0,1,65,NA,2,0,96,40.4089746341873,-3.71044093468833
"3703","La Latina",6,2,2,3,85,NA,4,10,98,40.408481624484,-3.71105314169872
"3704","La Latina",8,1.5,4,6,160,NA,4,20,85,40.4112123804156,-3.71147755765486
"3705","Ciudad Lineal",6,2,2,4,112,NA,4,5,85,40.4251142376705,-3.64046621392386
"3706","Ciudad Lineal",6,1,3,5,60,NA,2,20,95,40.4286744402556,-3.63436904048504
"3707","Ciudad Lineal",3,1,2,2,55,NA,2,0,100,40.4360187623743,-3.64811083791979
"3708","Ciudad Lineal",4,1,2,3,80,NA,2,5,96,40.4387760256962,-3.64333416560532
"3709","Ciudad Lineal",4,2,2,3,95,NA,1,0,NA,40.4532334651005,-3.66134420995687
"3710","Villaverde",4,1,0,2,33,NA,2,11,94,40.3340451026235,-3.70191782354091
"3711","Hortaleza",5,2,3,4,125,NA,3,25,85,40.4731255373315,-3.62918351609337
"3712","Hortaleza",3,1,1,2,62,0,1,25,96,40.4719768106016,-3.62952378348433
"3713","Carabanchel",3,1,1,2,34,NA,2,14,96,40.3902864462062,-3.74004798101809
"3714","Usera",3,1,0,3,43,NA,2,8,NA,40.3864798939362,-3.70278895084651
"3715","Moratalaz",4,1,1,1,48,NA,2,10,95,40.4089133427459,-3.65870027131819
"3716","Villa de Vallecas",4,1,1,4,60,NA,2,20,78,40.3631621016232,-3.58251321549149
"3717","Villa de Vallecas",5,1,1,3,48,NA,4,10,98,40.3630642161525,-3.59546629384208
"3718","San Blas",6,1.5,2,4,85,1292,4,10,92,40.440182835521,-3.61758283941406
"3719","Malasaña",2,1,1,1,150,NA,2,17,100,40.4217358314426,-3.7054627952993
"3720","Malasaña",3,1,2,2,56,484,2,12,94,40.4216868711435,-3.7050328554214
"3721","Malasaña",2,1,0,1,60,NA,1,0,100,40.4212969694212,-3.70542211568956
"3722","Malasaña",2,1,1,2,58,NA,1,0,92,40.4213325450878,-3.70419746632438
"3723","Malasaña",3,1,2,1,60,NA,1,10,85,40.4253553210852,-3.71205095280801
"3724","Malasaña",4,1,1,2,80,NA,1,10,NA,40.4248599505048,-3.7109833111727
"3725","Malasaña",2,1,1,2,55,NA,2,10,88,40.4223993079994,-3.70225471745732
"3726","Malasaña",2,1,0,2,30,NA,1,0,100,40.4271666848223,-3.70831935488187
"3727","Malasaña",4,1,2,2,120,NA,4,20,90,40.4271083820161,-3.71144457087315
"3728","Malasaña",2,1,0,1,60,NA,1,0,97,40.42376922234,-3.70245370203198
"3729","Malasaña",2,1,1,1,45,NA,2,0,89,40.4287743384498,-3.70882235728881
"3730","Cortes",4,1,1,2,59,388,2,10,85,40.4144004273562,-3.70125590249868
"3731","Cortes",4,1,1,3,70,NA,2,20,90,40.4114772218156,-3.69492079722633
"3732","Cortes",4,1,1,2,65,NA,2,15,95,40.4148273595521,-3.69952024666914
"3733","Cortes",8,1.5,3,5,275,NA,1,0,80,40.4124398001097,-3.69692330315432
"3734","Justicia",4,1,1,2,79,NA,2,10,89,40.4212260396675,-3.69782615730192
"3735","Justicia",2,1,1,1,55,NA,1,0,93,40.4213376867127,-3.69673397138972
"3736","Malasaña",2,1,1,1,145,NA,1,0,NA,40.4207572933968,-3.70483888846057
"3737","Malasaña",6,1,2,5,80,NA,4,15,NA,40.4234273155093,-3.71037499561466
"3738","Malasaña",4,1,1,1,99,NA,2,0,97,40.4272236053709,-3.70904232442559
"3739","Malasaña",2,1.5,1,2,90,NA,1,0,96,40.4244369237923,-3.70289164929483
"3740","Malasaña",6,1,2,3,140,NA,2,10,100,40.4212887297994,-3.70201056662883
"3741","Malasaña",4,1,1,2,100,NA,1,0,NA,40.421491105929,-3.70478875668881
"3742","Malasaña",2,1,1,1,90,NA,2,0,80,40.4275138581121,-3.70344579531309
"3743","Malasaña",4,1,2,2,90,0,1,0,91,40.4271590078184,-3.70661363776413
"3744","Embajadores",4,1,0,2,125,NA,1,0,99,40.4125821498907,-3.70013231974968
"3745","Embajadores",4,1,1,2,70,NA,2,10,84,40.4069447480449,-3.69850846017484
"3746","La Latina",3,1,1,3,65,NA,2,10,91,40.406553419178,-3.70451413258842
"3747","Embajadores",7,1,3,5,170,NA,3,20,76,40.4092818387563,-3.69288166622121
"3748","Embajadores",4,1,1,2,50,592,2,15,88,40.4115301183852,-3.69998412036534
"3749","Centro",3,1,1,2,64,NA,2,15,92,40.4060777198457,-3.69988132787447
"3750","Embajadores",2,1,1,1,52,538,1,0,95,40.4080307032218,-3.69854596339929
"3751","La Latina",6,2,2,3,150,NA,1,10,NA,40.408897037291,-3.70937374477109
"3752","La Latina",5,1,2,3,180,NA,2,35,96,40.41243301738,-3.71093274201083
"3753","Palacio",4,1,1,1,90,NA,2,18,NA,40.4154622415066,-3.71003605484926
"3754","La Latina",2,1,0,1,54,NA,2,0,94,40.4097674537144,-3.71378462080414
"3755","La Latina",6,1,2,4,120,NA,3,20,92,40.41250494788,-3.70745164553893
"3756","Embajadores",4,1,2,2,90,NA,1,0,90,40.409954311579,-3.70271387159823
"3757","Embajadores",4,1,1,2,50,NA,2,15,80,40.4128947812284,-3.70077969016466
